record_id|record_type|name_or_title|role_or_function|ward|date|source_url|date_scraped
AG-015|Department|Department of Community Development and Social Services|Administers social support programmes, e.g. handed over farming equipment/livestock to beneficiaries under the Food Security Pack Program (news post dated 11 September 2024)|N/A|2024-09-11|https://www.kalomocouncil.gov.zm/?p=2014|2026-09-12
AG-016|Department|Legal Services Unit|Unit within the Office of the Council Secretary; provides legal advice and safeguards the Council's interests. Headed by a Council Advocate, assisted by 2 Senior Legal Assistants|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=3964|2026-09-12
AG-017|Department|Procurement and Supplies Unit|Unit within the Office of the Council Secretary; procures works, goods and services for value for money and efficient use of Council resources|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=3964|2026-09-12
AG-018|Department|Public Relations Unit|Unit within the Office of the Council Secretary; informs the public and enhances the Council's image|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=3964|2026-09-12
AG-019|Department|Internal Audit Unit|Unit within the Office of the Council Secretary; manages the internal audit function and oversight of public resources|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=3964|2026-09-12
AG-020|Department|Information and Communication Technology (ICT) Unit|Unit within the Office of the Council Secretary; manages and supports the Council's technology systems|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=3964|2026-09-12
AG-021|Ward|Valencia Simwale|Ward Councillor|Naluja Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-022|Ward|Vincent Hamukwala|Ward Councillor|Mikata Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-023|Ward|Patricia Simbeleko|Ward Councillor|Chamuka Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-024|Ward|Willard Hamanjanji|Ward Councillor|Omba Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-025|Ward|Titus Siamafuwa|Ward Councillor|Bbilili Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-026|Ward|Joel Muleya|Ward Councillor|Kasukwe Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-027|Ward|Astone Malasha|Ward Councillor|Chikanta Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-028|Ward|Nkuyanda Malawo|Ward Councillor|Katanda Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-029|Ward|David Mutentwa|Ward Councillor|Namwianga Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-030|Ward|Denny Moono|Ward Councillor|Kalonda Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-031|Ward|Samson Muchimba|Ward Councillor|Chilesha Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-032|Ward|Mason Munsanje|Ward Councillor|Chifusa Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-033|Ward|Munsaka Trouble|Ward Councillor|Nachikungu Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-034|Ward|Howard Munsanje|Ward Councillor|Sipatunyana Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-035|Ward|Roy Sialubala|Ward Councillor|Chawila Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-036|Ward|Bukoka Milambo|Ward Councillor|Siachitema Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-037|Ward|Liberty Chifuwe|Ward Councillor|Choonga Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-038|Ward|Lewis Mantanyani|Ward Councillor|Mayoba Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-039|Ward|Miyoba Muloongo|Ward Councillor|Simayakwe Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-040|Ward|Sialwizi S. Madyenkuku|Ward Councillor|Mwaata Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-12
AG-041|Committee|Ward Development Committee (WDC)|Grassroots link between communities and the Council; members elected by ward residents to represent community development interests. Present in each of the district's 20 wards.|All 20 wards|N/A|https://www.kalomocouncil.gov.zm/?page_id=2259|2026-09-12
AG-042|Committee|Community Welfare Assistance Committee (CWAC)|Ward-level committee sensitized/engaged under the Revised Cash for Work (R-CFW) Programme|All 20 wards|2026-06-16|https://www.kalomocouncil.gov.zm/?p=5104|2026-09-12
AG-043|Committee|Satellite Disaster Management Committee (SDMC)|Ward-level disaster-management committee sensitized/engaged under the Revised Cash for Work (R-CFW) Programme, introduced in response to the 2023/2024 drought|All 20 wards|2026-06-16|https://www.kalomocouncil.gov.zm/?p=5104|2026-09-12
AG-044|Committee|Headmen|Traditional local leaders sensitized/engaged alongside WDCs, CWACs, SDMCs and councillors under the R-CFW Programme|All 20 wards|2026-06-16|https://www.kalomocouncil.gov.zm/?p=5104|2026-09-12
AG-045|Constituency|Kalomo Central Constituency|One of the district's two parliamentary constituencies|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=2242|2026-09-12
AG-046|Constituency|Dundumwezi Constituency|One of the district's two parliamentary constituencies|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=2242|2026-09-12
AG-047|Chiefdom|Chikanta Chiefdom|One of the district's three traditional chiefdoms|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=2242|2026-09-12
AG-048|Chiefdom|Siachitema Chiefdom|One of the district's three traditional chiefdoms|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=2242|2026-09-12
AG-049|Chiefdom|Sipatunyana Chiefdom|One of the district's three traditional chiefdoms|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=2242|2026-09-12
AG-050|Service|Council Services (Services page overview)|Refuse collection (Keep Zambia Clean, Green and Healthy campaign); borehole drilling for clean water; procurement via the Electronic Government Procurement (e-GP) system; feeder-road provision through the Engineering Department; HIV/AIDS, gender and human rights sensitisation; licensing services (trade licences, health permit licences, liquor licences - issuing department/unit not stated in the source)|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=792|2026-09-12
AG-051|Committee|Dundumwezi Constituency Development Fund Committee (CDFC)|Chairperson: Simon Chikonka. Members: Febias Simisamu, Staff Hakumbila, Happiness Kaande, Patricia Simbeleko, Ebby Kapepe, Adron Mudenda, and MP Edgar Sing'ombe. Reviews and resolves on CDF community project applications and fund allocation for Dundumwezi Constituency (per minutes of the meeting held 29 December 2023)|N/A|2023-12-29|Dundumwezi CDF Committee Minutes, 29 December 2023 (uploaded scan, no public URL)|2026-09-12
AG-052|Committee|Kalomo Central Constituency Development Fund Committee (CDFC)|Chairperson: Siyunyi Katanekwa. Members: Moses M Hamoonga, Sialubala Roy, Michael Chinganya, Mason Musanje, Sialwizi S. Madyenkuku, Dickson Simbweede, and MP Harry Kamboni. Reviews and resolves on CDF community project applications and fund allocation for Kalomo Central Constituency (per minutes of the meeting held 9-10 February 2024)|N/A|2024-02-09|Kalomo Central CDF Committee Minutes, 9-10 February 2024 (uploaded scan, no public URL)|2026-09-12
AG-053|Committee|Ward Development Committee (WDC) Chairperson - Katanda Ward|WDC Chairperson: Jeremiah Muyangana|Katanda Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-054|Committee|Ward Development Committee (WDC) Chairperson - Choonga Ward|WDC Chairperson: Clayford Hakooba|Choonga Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-055|Committee|Ward Development Committee (WDC) Chairperson - Naluja Ward|WDC Chairperson: Paul Hamweemba|Naluja Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-056|Committee|Ward Development Committee (WDC) Chairperson - Namwianga Ward|WDC Chairperson: Costene Chiyumba|Namwianga Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-057|Committee|Ward Development Committee (WDC) Chairperson - Simayakwe Ward|WDC Chairperson: Mercy Chilundika|Simayakwe Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-058|Committee|Ward Development Committee (WDC) Chairperson - Sipatunyana Ward|WDC Chairperson: Winter Moono|Sipatunyana Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-059|Committee|Ward Development Committee (WDC) Chairperson - Chilesha Ward|WDC Chairperson: Jerald Makaya|Chilesha Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-060|Committee|Ward Development Committee (WDC) Chairperson - Bbilili Ward|WDC Chairperson: Albertina Habuluba|Bbilili Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-061|Committee|Ward Development Committee (WDC) Chairperson - Nachikungu Ward|WDC Chairperson: Patient Munyandi|Nachikungu Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-062|Committee|Ward Development Committee (WDC) Chairperson - Kalonda Ward|WDC Chairperson: Allan Kanenga|Kalonda Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-063|Committee|Ward Development Committee (WDC) Chairperson - Siachitema Ward|WDC Chairperson: Nakambowa Songiso|Siachitema Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-064|Committee|Ward Development Committee (WDC) Chairperson - Chikanta Ward|WDC Chairperson: Stanley Nalube|Chikanta Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-065|Committee|Ward Development Committee (WDC) Chairperson - Mayoba Ward|WDC Chairperson: Abion Muntanga|Mayoba Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-066|Committee|Ward Development Committee (WDC) Chairperson - Chawila Ward|WDC Chairperson: Payford Dabali|Chawila Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-067|Committee|Ruth M. Langisi|"Listed on the attendance sheet simply as ""WDC-Mwaata"" - likely a WDC representative for Mwaata Ward, but the source does not explicitly state ""Chairperson"" (unlike the 14 entries above that do), so that title is not assumed here"|Mwaata Ward|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-068|Leadership|Choolwe Hachija|Chief Accountant, Kalomo Town Council|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-069|Leadership|Mary Muponda|Public Relations Officer (heads the Public Relations Unit logged above)|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-070|Leadership|Bridget Mweetwa|Internal Auditor (heads the Internal Audit Unit logged above)|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-071|Leadership|Siabona Gamitto|Council Advocate (heads the Legal Services Unit logged above)|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-072|Leadership|Muchula Maboshe|Chief Administrative and Committee Officer|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-073|Leadership|Janet Chilala|"Senior Committee Clerk (listed as ""Ag. Snr Committee Clerk"" in the Dec 2023 Dundumwezi CDF minutes and ""Committee Clerk"" in the Feb 2024 Kalomo Central CDF minutes - same person, title varies slightly by document)"|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-074|Leadership|Nchimunya Saasa|Committee Clerk|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-075|Leadership|Gideon Lengwe|Valuation Officer|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-076|Leadership|Bosco Kapopo|Community Development Officer (part of the Department of Community Development and Social Services logged above)|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-077|Leadership|Miranda Muleya|Ag. District Planning Officer (Secretariat) - appears across all three uploaded CDF/budget meeting minutes (Dec 2023, Feb 2024, Nov 2024) as the compiling/secretariat officer|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-078|Leadership|Christopher Zyambo|"Council/District Treasurer (titled ""District Treasurer"" in the Dec 2023 Dundumwezi minutes and ""Council Treasure[r]"" in the Feb 2024 Kalomo Central minutes - same person)"|N/A|2024-02-09|Kalomo Central CDF Committee Minutes, 9-10 February 2024 (uploaded scan, no public URL)|2026-09-12
AG-079|Leadership|Chikumbuso Banda|Director of Works|N/A|2024-02-09|Kalomo Central CDF Committee Minutes, 9-10 February 2024 (uploaded scan, no public URL)|2026-09-12
AG-080|Leadership|Rose Chulu|Socio-Economic Planner|N/A|2024-02-09|Kalomo Central CDF Committee Minutes, 9-10 February 2024 (uploaded scan, no public URL)|2026-09-12
AG-081|Leadership|Wallace Hamasuku|Assistant Community Development Officer|N/A|2024-02-09|Kalomo Central CDF Committee Minutes, 9-10 February 2024 (uploaded scan, no public URL)|2026-09-12
AG-082|Resolution|CDFKALDUN/07/11/23: Adoption of CDF Minutes|Resolved: the Dundumwezi CDF minutes held 29 November 2023 be adopted as a true record of proceedings|N/A|2023-12-29|Dundumwezi CDF Committee Minutes, 29 December 2023 (uploaded scan, no public URL)|2026-09-12
AG-083|Resolution|CDFKALDUN/14/12/23: Empowerment Loan Application for 2024|Resolved: each ward be allocated K400,000.00 for empowerment loans; committee members to select successful applicants|All wards (Dundumwezi Constituency)|2023-12-29|Dundumwezi CDF Committee Minutes, 29 December 2023 (uploaded scan, no public URL)|2026-09-12
AG-084|Resolution|CDFKALDUN/14/15/23: Secondary School Boarding and Skills Development Applications for 2024|Resolved: 164 Secondary Boarding School applicants and 117 Skills Development Training applicants approved; all applications to Nsenje Hills Training Institute withdrawn (overly priced tuition) and all to Mufurila Training Institute withdrawn (students denied food despite payment)|All wards (Dundumwezi Constituency)|2023-12-29|Dundumwezi CDF Committee Minutes, 29 December 2023 (uploaded scan, no public URL)|2026-09-12
AG-085|Resolution|CDFKALCEN/02/02/24: Adoption of CDF Minutes|Resolved: the CDF Central minutes held 23 November 2023 be adopted as a true record of proceedings, with amendments|N/A|2024-02-09|Kalomo Central CDF Committee Minutes, 9-10 February 2024 (uploaded scan, no public URL)|2026-09-12
AG-086|Resolution|CDFKALCEN/03/02/24: Amendment of 2024 Proposed Projects|Resolved: a 33-project list for Kalomo Central Constituency approved with amended funding amounts, totalling K16,589,200.12 (full project-level detail intentionally not duplicated here - see the team's cdf_projects dataset)|All wards (Kalomo Central Constituency)|2024-02-09|Kalomo Central CDF Committee Minutes, 9-10 February 2024 (uploaded scan, no public URL)|2026-09-12
AG-087|Resolution|CES/05/11/24: Submission of Proposed Projects for 2025 (ZDSP)|Resolved: 6 projects approved for Zambia Devolution Support Programme (ZDSP) funding - Trucking Bay (Kalomo Central), Solar Street Lights along T1 Phase II, Dump site fencing, Refuse Bays (5 markets), Police Post Staff House at Kasukwe (Dundumwezi), Water Irrigation Scheme at Mukwela (Kalomo Central)|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
AG-088|Report|Community Engagement Meeting Minutes on Budget Preparation|Director of Finance presented 2024 budget performance (76% overall collection efficiency against the approved annual budget) and the proposed 2025 budget (K156.3 million, a 63% increase over 2024, driven by the new Cash for Work Fund and increased CDF). Detailed revenue/expenditure figures intentionally not duplicated here - see the team's financial_data dataset|N/A|2024-11-28|Community Engagement Meeting Minutes on Budget Preparation, 28 November 2024 (uploaded scan, no public URL)|2026-09-12
