project_id|project_name|ward|sector|amount_allocated_zmw|amount_disbursed_zmw|fiscal_year|status|source_url|date_scraped
CDF-0042|Completion Of Mourtary At Siachitema Rhc|Siachitema|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0043|Completion Of Clinic At Nakabanga Clinic|Siachitema|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0044|Completion Of 1X3 Science Laboraorty At Dimbwe|Nachikungu|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0045|Completion Of Ablution Block At Good Hope Primary School|Namwianga|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0046|Completion Of Bbelo Health Post|Namwianga|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0047|Completion Of Siabalumbi Post|Namwianga|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0048|Rehabilitation Qf Vet Ext. House At Chifusa|Chifusa|Veterinary|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0049|Completion Of Maternity Wing At Chifusa Rhc|Chifusa|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0050|Completion Of Laboratory At Chifusa Prim & Secondary Sch|Chifusa|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0051|Completion Qf 1X3Crb At Rr Primary School|Chilesha|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0052|Disaster Component Supply, Delevery And Installation Of The Solar System At Kasizi; Nantale, Nalubumba /And Tara Health Posts|N/A|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0053|Rehabilitation Of A 1X3 Classroom Block At Malala|Chilesha|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0054|Tlb|All Wards|Transport|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0055|Desks|All Wards|Education|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0056|Grader|All Wards|Transport|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0057|Nahila Dip Tank|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0058|Nsalali Primary And Secondary School|Bbilili|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0059|Nzamaya Kwamulu Agriculture Cooperative Society|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0060|Katambwela Village|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0061|Village Chibamba|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0062|Sikabanga Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0063|Zamaya Kwamuli Agriculture Cooperative Society|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0064|Chibamba € Village|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0065|Nakwenda Village|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0066|Nakwenda Village Alick Muleya|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0067|Nahila Primary School|Bbilili|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0068|Kakuyu Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0069|Kakuyu Community Siachaama|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0070|Katambwela Village (Chisekese Place)|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0071|Zintu-Nkusola Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0072|Maloba B Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0073|Mukuyu Community Group Under Munsaka Village|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0074|Mukuyu Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0075|Stmalele Multi Purpose Solar Powered Project|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0076|Kamotwe Agriculture Cooperative Society|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0077|Twalila Kuno|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0078|Sikalezu (Mulebwente Village) Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0079|Kalundu Siantambo West|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0080|Twapenga Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0081|Katanda Chitumbi|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0082|Kaumuzya Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0083|Kalembela|Bbilili|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0084|Kalembela Community|Bbilili|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0085|Bbilili Rural Health Centre|Bbilili|Health|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0086|Choonde Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0087|Mupondo Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0088|Twayuminwa|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0089|Chitumbi Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0090|Maunga Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0091|Nabusanga Primary School|Bbilili|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0092|Chimapa Yuma Communiy|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0093|Mapenzi Mwiiyi Top Ten Group|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0094|Siamapande Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0095|Chibengelele Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0096|Mutumbi Community|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0097|Mabombo Hillside|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0098|Bbilili Basic School|Bbilili|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0099|Nazibbula Solar Pump|Bbilili|Water and Sanitation|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0100|X2 Crb At Nsalali Primary School|Bbilili|Education|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0101|Lrrigation System At Nangubo Dam|Bbilili|Agriculture|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0102|Staff House Nabusanga Primary School|Bbilili|Education|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0103|Completion Of Staff House Kalembela Primary School|Bbilili|Education|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0104|Completion Of Staff House Kalembela Primary School|Chamuka|Education|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0105|Construction Siantete Staff House|Chamuka|Education|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0106|Drilling Qf 3 Boreholes|Chamuka|Water and Sanitation|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0107|Tanks Chemicals For Dip `|Chamuka|Livestock|N/A|N/A|2025|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0108|Borehole At Gumbe B|Chamuka|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0109|Siabunkululu Rural Health Centre|Chamuka|Health|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0110|Katambwela Rural Health Post|Chamuka|Health|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0111|Sichimbwali Community|Chamuka|Health|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0112|Sichimbwali Community|Chamuka|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0113|Siabunkululu Rural Health Centre|Chamuka|Health|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0114|Siabunkululu Rural Health Centre|Chamuka|Health|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0115|Isiabunkululu Rural Health Centre|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0116|Mukoma Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0117|Community Sichimbwali|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0118|(Siabuakululu Primary School|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0119|Iamusute Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0120|Hantete Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0121|Mapulanga Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0122|Siabunkululu|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0123|Nachingoni Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0124|Habalangu-Mukampande Villages|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0125|Humbe Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0126|Hazema + Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0127|Maliko Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0128|Mugololo Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0129|Haameje Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0130|Habalele Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0131|Katambo Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0132|Kangabale Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0133|Kangabale Village Sikaale Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0134|Havwabi Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0135|Havwabi Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0136|Passmore Muchindu|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0137|Ktambwela Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0138|A Village Hatyoka|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0139|Siabunkululu|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0140|Sichikulo Villlage|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0141|Gumbe B Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0142|Chinkuli Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0143|Mbelika Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0144|Nzila Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0145|Hamboole Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0146|Zumanana Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0147|Hapondo Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0148|Isimbwedle South Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0149|Namita Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0150|Chibya Busiku Village|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0151|Nachingoni Hamubbampa Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0152|Munyeke Parent And Teacher'S Association|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0153|Sikaate Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0154|Katambo North Community Area|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0155|Magwaza Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0156|Munyeke Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0157|Siabunkululu Primary School|Chamuka|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0158|Chiwa Community|Chamuka|Livestock|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0159|Nachingoni Community|Chamuka|Water and Sanitation|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0160|Siantete Community|Chamuka|Livestock|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0161|Siantete Community|Chamuka|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0162|Kakuyu Community|Chamuka|Infrastructure|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0163|Sichimbwali Sda South Church|Chamuka|Infrastructure|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0164|Gates Sda Church|Chamuka|Infrastructure|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0165|Sichimbwali Bic Church|Chamuka|Infrastructure|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0166|Sichimbwali Primary School|Chamuka|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0167|Sichimbwali Community|Chamuka|Livestock|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0168|Sichtmbwali Primary School|Chamuka|Education|N/A|N/A|2025|Not Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
